date,ecoli_value,rainfall_site,flow_site1,flow_site2,rain_mm_day0,rain_mm_prior24h,rain_mm_prior48h,rain_mm_prior72h,rain_mm_prior7d,flowsite1_max_day0,flowsite1_max_prior24h,flowsite1_max_prior48h,flowsite1_max_prior72h,flowsite1_max_prior7d,flowsite2_max_day0,flowsite2_max_prior24h,flowsite2_max_prior48h,flowsite2_max_prior72h,flowsite2_max_prior7d
8/11/04 0:00,830,Ohau at Makahika,Waikawa at North Manakau Road,,,,,,,,,,,,,,,,
6/12/04 0:00,1200,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
11/1/05 0:00,420,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
7/2/05 0:00,190,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
7/3/05 0:00,2600,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
4/4/05 0:00,200,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
7/2/06 0:00,50,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,,,,,,,,,,
2/11/11 0:00,1700,Ohau at Makahika,Waikawa at North Manakau Road,,30.5,5.01,5.01,5.01,83.52,1374.35,1549.98,3477.98,6208.47,56689.05,,,,,
9/11/11 0:00,600,Ohau at Makahika,Waikawa at North Manakau Road,,45.38,22.12,22.62,39.12,82.63,5074.21,2349.77,11060.5,12422.84,20882.36,,,,,
16/11/11 0:00,26000,Ohau at Makahika,Waikawa at North Manakau Road,,54.99,0,0.5,0.5,52.88,1410.81,1810.6,3878.27,6552.19,77628.12,,,,,
23/11/11 0:00,220,Ohau at Makahika,Waikawa at North Manakau Road,,11.33,0,16.45,20.5,75.99,3357.64,7556.67,9093.64,10529.12,37507.49,,,,,
30/11/11 0:00,190,Ohau at Makahika,Waikawa at North Manakau Road,,0,10,19.51,19.51,74.02,3617.1,3272.35,5111.87,7461.64,39183.58,,,,,
7/12/11 0:00,770,Ohau at Makahika,Waikawa at North Manakau Road,,2.5,10.5,18,22,23.5,1190.21,1326.73,2303.68,3318.72,10924.51,,,,,
14/12/11 0:00,240,Ohau at Makahika,Waikawa at North Manakau Road,,1,8.5,14.5,14.5,17,2845.81,720.55,1339.16,1994.16,5710.97,,,,,
21/12/11 0:00,170,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,61.52,1074.42,1280.08,2950.31,5718.92,35405.58,,,,,
28/12/11 0:00,390,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0,597.41,640.29,1316.88,2052.31,5730.78,,,,,
4/1/12 0:00,290,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,5.5,24,81.49,1034.54,1447.91,2946.29,7332.87,11826.46,,,,,
11/1/12 0:00,21,Ohau at Makahika,Waikawa at North Manakau Road,,2.5,5.5,5.5,29,30,543.19,827.09,1851.84,2428.52,5501.46,,,,,
18/1/12 0:00,310,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,1,17.01,37.01,788.4,1257.16,7231.85,8523.49,13667.85,,,,,
25/1/12 0:00,200,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,6,9.5,463.32,676.59,1457.34,2034.02,4802,,,,,
1/2/12 0:00,28,Ohau at Makahika,Waikawa at North Manakau Road,,20.5,0,0,0,26,412.96,440.51,915.5,1636.05,7577.09,,,,,
8/2/12 0:00,310,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,21,402.24,440.51,964.23,1500.87,9911.08,,,,,
15/2/12 0:00,270,Ohau at Makahika,Waikawa at North Manakau Road,,0,12,12,12,44,866.49,423.85,980.28,3435.19,5411.61,,,,,
22/2/12 0:00,190,Ohau at Makahika,Waikawa at North Manakau Road,,33,1.5,2,2.5,2.5,361.06,402.24,895.04,1251.14,3423.19,,,,,
29/2/12 0:00,52,Ohau at Makahika,Waikawa at North Manakau Road,,3.57,1,1,1,62.5,720.55,858.55,1943.12,4107.69,25910.18,,,,,
7/3/12 0:00,1700,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0.5,94.52,1800.05,2359.17,6679.76,28674.31,57389.46,,,,,
14/3/12 0:00,430,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,19,23,23,1536.15,4387.79,5319.83,6260.97,11774.91,,,,,
21/3/12 0:00,350,Ohau at Makahika,Waikawa at North Manakau Road,,2,0,0,0,0.5,588.81,610.27,1264.99,1965.41,6022.61,,,,,
28/3/12 0:00,200,Ohau at Makahika,Waikawa at North Manakau Road,,6,2,2,8.82,60.51,1339.65,1853.79,9737.12,12019.31,24193.78,,,,,
3/4/12 0:00,110,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,0,0,0,8,685.13,739.35,1551.35,2422.14,7842.98,,,,,
11/4/12 0:00,41,Ohau at Makahika,Waikawa at North Manakau Road,,1.27,0,0,0,1,441.45,453.11,930.18,1432.04,3858.7,,,,,
18/4/12 0:00,200,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0.5,0.5,10.5,355.74,365.73,741.66,1138.6,3490.71,,,,,
23/4/12 0:00,74,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,0.5,309.37,313.71,631.8,954.32,2392.86,,,,,
7/11/12 0:00,120,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,2,21,1006.4,1054.67,3003.77,7235.49,13143.3,,,,,
14/11/12 0:00,120,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,3,21,21,1124.58,3643.83,8586.43,9279.18,12666.14,,,,,
21/11/12 0:00,25,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,5,23.5,803.77,896.59,2683.29,4875.03,10262.61,,,,,
28/11/12 0:00,100,Ohau at Makahika,Waikawa at North Manakau Road,,0,4,11,11,11,1054.67,932.04,1527.94,2182.66,5081.74,,,,,
5/12/12 0:00,120,Ohau at Makahika,Waikawa at North Manakau Road,,31.82,0.68,0.68,14.68,15.18,692.75,1949.1,4890.03,5361.03,8113.02,,,,,
12/12/12 0:00,140,Ohau at Makahika,Waikawa at North Manakau Road,,0,0.5,0.5,0.5,56.32,1239.92,1472.71,3353.57,7629.62,46377.85,,,,,
19/12/12 0:00,810,Ohau at Makahika,Waikawa at North Manakau Road,,11,52.51,53.01,53.01,53.01,22837.59,662.33,1378.2,2149.43,6240.33,,,,,
27/12/12 0:00,300,Ohau at Makahika,Waikawa at North Manakau Road,,4.5,0,0,0,27.5,1197.2,1363.18,2977.9,5052.3,32059.97,,,,,
3/1/13 0:00,5200,Ohau at Makahika,Waikawa at North Manakau Road,,16.5,0,0,1.5,60,1472.71,1826.86,5205.34,37212.86,49195.59,,,,,
9/1/13 0:00,220,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,16.5,959.51,1054.67,2241.33,3616.38,18907.38,,,,,
16/1/13 0:00,670,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,7,32.99,58.49,64.99,9967.36,9663.76,15833.7,16557.36,20384.05,,,,,
23/1/13 0:00,240,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,32.51,42.01,1773.38,2328.2,14651.48,16062.6,34687.44,,,,,
30/1/13 0:00,630,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,10,803.77,853.79,1785.83,2830.74,9850.55,,,,,
7/2/13 0:00,1100,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,23.5,87.49,87.49,1197.2,14831.75,41622.85,42211.66,44916.01,,,,,
13/2/13 0:00,3900,Ohau at Makahika,Waikawa at North Manakau Road,,2.5,6,6,6,6,731.48,595.9,1243.07,1935.82,19598.76,,,,,
20/2/13 0:00,38,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,0,0,2.5,435.7,441.45,912.45,1401.81,3829.39,,,,,
