date,ecoli_value,rainfall_site,flow_site1,flow_site2,rain_mm_day0,rain_mm_prior24h,rain_mm_prior48h,rain_mm_prior72h,rain_mm_prior7d,flowsite1_max_day0,flowsite1_max_prior24h,flowsite1_max_prior48h,flowsite1_max_prior72h,flowsite1_max_prior7d,flowsite2_max_day0,flowsite2_max_prior24h,flowsite2_max_prior48h,flowsite2_max_prior72h,flowsite2_max_prior7d
30/11/16 0:00,440,Ohau at Makahika,Waikawa at North Manakau Road,,32.51,1,1,8,33.51,1313,1500.35,3188.78,5244.97,15354.66,,,,,
7/12/16 0:00,25,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,0,0,2.5,35.01,1232.42,1537,3186.85,4823.95,21814.67,,,,,
13/12/16 0:00,30,Ohau at Makahika,Waikawa at North Manakau Road,,0,2.5,4,20,22.51,1221.19,2502.4,7016.97,7999.26,12962.87,,,,,
20/12/16 0:00,80,Ohau at Makahika,Waikawa at North Manakau Road,,0,42.5,43,43,95,15682.87,1537,3439.34,6383.1,26474.54,,,,,
29/12/16 0:00,25,Ohau at Makahika,Waikawa at North Manakau Road,,19.01,14.63,30,30,48,4851.07,1549.32,2704.6,4005.88,11773.96,,,,,
5/1/17 0:00,21,Ohau at Makahika,Waikawa at North Manakau Road,,0,0.5,22.49,34.03,91.49,3706.77,5397.09,18529.78,30295.38,40270.67,,,,,
10/1/17 0:00,150,Ohau at Makahika,Waikawa at North Manakau Road,,20.49,10.49,10.49,10.49,32.98,1861.19,1611.75,3768.28,5939.34,30858.69,,,,,
17/1/17 0:00,16,Ohau at Makahika,Waikawa at North Manakau Road,,0,0,39.49,39.49,88.49,3588.68,12980.58,15646.57,23646.65,44159.84,,,,,
25/1/17 0:00,38,Ohau at Makahika,Waikawa at North Manakau Road,,27,0,23.5,44.5,81.01,3349.71,8992.76,16872.64,19251.93,37557.61,,,,,
31/1/17 0:00,81,Ohau at Makahika,Waikawa at North Manakau Road,,8,10.5,10.5,10.5,38,2084.62,1834.02,4048.92,6648.41,34833.14,,,,,
8/2/17 0:00,16,Ohau at Makahika,Waikawa at North Manakau Road,,0.5,38.01,40.01,40.51,160.02,25287.26,3434.92,8014.14,15085.99,97352.98,,,,,
14/2/17 0:00,53,Ohau at Makahika,Waikawa at North Manakau Road,,0,10.5,19,19,57.51,3692.85,1873.84,3998.98,6468.76,42753.95,,,,,
21/2/17 0:00,75,Ohau at Makahika,Waikawa at North Manakau Road,,0,1,2,2.5,26,1349.44,1419.2,4177.12,8700.14,17054.33,,,,,
