date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
11/1/05 0:00,420,0,0,0,0
7/2/05 0:00,190,0,0,0,0
7/3/05 0:00,2600,0,0,0,0
4/4/05 0:00,200,0,0,0,0
7/2/06 0:00,50,0,0,0,0
2/11/11 0:00,1700,30.5,5.01,5.01,5.01
9/11/11 0:00,600,45.38,22.12,22.62,39.12
16/11/11 0:00,26000,54.99,0,0.5,0.5
23/11/11 0:00,220,11.33,0,16.45,20.5
30/11/11 0:00,190,0,10,19.51,19.51
7/12/11 0:00,770,2.5,10.5,18,22
14/12/11 0:00,240,1,8.5,14.5,14.5
21/12/11 0:00,170,0,0,0,0
28/12/11 0:00,390,0,0,0,0
4/1/12 0:00,290,0,0,5.5,24
11/1/12 0:00,21,2.5,5.5,5.5,29
18/1/12 0:00,310,0,0,1,17.01
25/1/12 0:00,200,0,0,0,6
1/2/12 0:00,28,20.5,0,0,0
8/2/12 0:00,310,0,0,0,0
15/2/12 0:00,270,0,12,12,12
22/2/12 0:00,190,33,1.5,2,2.5
29/2/12 0:00,52,3.57,1,1,1
7/3/12 0:00,1700,0,0,0,0.5
14/3/12 0:00,430,0,0,19,23
21/3/12 0:00,350,2,0,0,0
28/3/12 0:00,200,6,2,2,8.82
3/4/12 0:00,110,0.5,0,0,0
11/4/12 0:00,41,1.27,0,0,0
18/4/12 0:00,200,0,0,0.5,0.5
23/4/12 0:00,74,0,0,0,0
7/11/12 0:00,120,0,0,0,2
14/11/12 0:00,120,0,0,3,21
21/11/12 0:00,25,0,0,0,5
28/11/12 0:00,100,0,4,11,11
5/12/12 0:00,120,31.82,0.68,0.68,14.68
12/12/12 0:00,140,0,0.5,0.5,0.5
19/12/12 0:00,810,11,52.51,53.01,53.01
27/12/12 0:00,300,4.5,0,0,0
3/1/13 0:00,5200,16.5,0,0,1.5
9/1/13 0:00,220,0,0,0,0
16/1/13 0:00,670,0.5,7,32.99,58.49
23/1/13 0:00,240,0,0,0,32.51
30/1/13 0:00,630,0,0,0,0
7/2/13 0:00,1100,0,0,23.5,87.49
13/2/13 0:00,3900,2.5,6,6,6
20/2/13 0:00,38,0,0,0,0
27/2/13 0:00,270,0,0,0,0
6/3/13 0:00,21,2.5,0,0,0
13/3/13 0:00,420,0,0,0,0
20/3/13 0:00,3000,0.5,13,52,59
26/3/13 0:00,470,0,0,0,0
3/4/13 0:00,68,6,0.5,3.5,13
10/4/13 0:00,140,0,8.5,13.5,13.5
17/4/13 0:00,540,7,2,2,17
23/4/13 0:00,690,5.5,2.5,20.5,23.5
6/11/13 0:00,110,4,0,0,0.5
13/11/13 0:00,310,0,0,0,0
20/11/13 0:00,190,0,0,0,13
27/11/13 0:00,1300,1,6.5,6.5,6.5
4/12/13 0:00,63,2.5,0,0,0
11/12/13 0:00,2100,0,16.51,22.51,29.51
18/12/13 0:00,1200,0,1,1,1
20/12/13 0:00,3300,0,2.5,2.5,3.5
27/12/13 0:00,440,0.5,2.5,5.5,22.01
3/1/14 0:00,92,40.01,0,7,7
8/1/14 0:00,160,0.5,3,3,51.62
15/1/14 0:00,330,0,0,3.5,4
22/1/14 0:00,3300,5,4.5,8,8
29/1/14 0:00,34,0,0,2,14
4/2/14 0:00,260,0,0,0,0
