date,ecoli_value,rain_day0_mm,rain_prior24h_mm,rain_prior48h_mm,rain_prior72h_mm
30/11/16 0:00,440,32.51,1,1,8
7/12/16 0:00,25,0.5,0,0,2.5
13/12/16 0:00,30,0,2.5,4,20
20/12/16 0:00,80,0,42.5,43,43
29/12/16 0:00,25,19.01,14.63,30,30
5/1/17 0:00,21,0,0.5,22.49,34.03
10/1/17 0:00,150,20.49,10.49,10.49,10.49
17/1/17 0:00,16,0,0,39.49,39.49
25/1/17 0:00,38,27,0,23.5,44.5
31/1/17 0:00,81,8,10.5,10.5,10.5
8/2/17 0:00,16,0.5,38.01,40.01,40.51
14/2/17 0:00,53,0,10.5,19,19
21/2/17 0:00,75,0,1,2,2.5
28/2/17 0:00,70,0,0,0,0
7/3/17 0:00,68,2,6,7,10
14/3/17 0:00,48,9.5,8,30.5,50
21/3/17 0:00,1000,0.93,2,2,2
28/3/17 0:00,63,0,0,5,29.01
4/4/17 0:00,900,27.67,20,29,29
11/4/17 0:00,34,0,0,0,0
19/4/17 0:00,30,0.5,0,12,13
27/4/17 0:00,92,0,0,0,0
6/11/17 0:00,63,0.5,4.5,5,16.01
12/11/17 0:00,10,0,0,0,0
21/11/17 0:00,63,0,0,0,0
29/11/17 0:00,158,0,1,1,1
3/12/17 0:00,20,0,0,0,0
12/12/17 0:00,52,0,1.5,2,2
18/12/17 0:00,20,1,0,0,0
27/12/17 0:00,86,0,12.5,12.5,13
3/1/18 0:00,97,16,0,2,2
8/1/18 0:00,109,0.5,0,0,32.5
14/1/18 0:00,118,0,0,0,2.5
24/1/18 0:00,265,0,3.5,4.5,4.5
29/1/18 0:00,199,0,0,0,0
4/2/18 0:00,120,0,0,0.5,28.5
13/2/18 0:00,122,0,22.35,64.5,69
19/2/18 0:00,120,0.5,0,0,10.5
25/2/18 0:00,63,0.5,0,0,20
6/3/18 0:00,110,9.5,0,0,0
12/3/18 0:00,52,0,0,0,0.5
18/3/18 0:00,10,0,0,2,4.5
27/3/18 0:00,10,0,0,2.5,16
5/4/18 0:00,52,0,0,5,5
8/4/18 0:00,63,0,1.5,1.5,1.5
15/4/18 0:00,20,0,0,0.5,30.01
23/4/18 0:00,20,0,0,1,4
12/11/18 0:00,10,0,0,0.5,24
18/11/18 0:00,86,6,0,0,0
26/11/18 0:00,495,19.65,5.5,6.5,6.5
2/12/18 0:00,52,0.5,2,2,2
10/12/18 0:00,97,0,0,0,0
24/12/18 0:00,10,0,0,1.5,2.5
30/12/18 0:00,379,7,0.5,0.5,0.5
7/1/19 0:00,932,17,2.5,2.5,2.5
13/1/19 0:00,73,1,0,0.5,6
22/1/19 0:00,63,0,0,4,7.5
27/1/19 0:00,457,17,1,1,5.5
10/2/19 0:00,85,0,0,0,0
18/2/19 0:00,73,0,0,0,6.5
24/2/19 0:00,504,30.5,3.5,47.51,51.01
4/3/19 0:00,96,0,0,0,0
10/3/19 0:00,31,0,7.36,19.5,19.5
17/3/19 0:00,41,0,0,0,29.51
24/3/19 0:00,121,0.5,0,0,0
1/4/19 0:00,784,18,0,0,0
7/4/19 0:00,85,4.86,0,0,0
15/4/19 0:00,86,0,0,0,3
29/4/19 0:00,1296,38.5,6.5,16.5,16.5
