E.coli date,E.coli value,Max flow value (past 24 hours),Max flow value (past 48 hours),Total flow value (past 48 hours),Max flow value (past 72 hours),Total flow value (past 72 hours),Max flow value (past 96 hours),Total flow value (past 96 hours),Max flow value (past 120 hours),Total flow value (past 120 hours),Max flow value (past 144 hours),Total flow value (past 144 hours),Max flow value (past 168 hours),Total flow value (past 168 hours)
2016-11-30,440.0,1500.35,1688.43,3188.7799999999997,2056.19,5244.969999999999,3537.78,8782.75,3537.78,10982.99,3537.78,13125.05,3537.78,15354.66
2016-12-07,25.0,1537.0,1649.85,3186.85,1649.85,4823.95,1957.96,6781.91,2890.25,9672.16,10829.51,20501.67,10829.51,21814.67
2016-12-13,30.0,2502.4,4514.57,7016.969999999999,4514.57,7999.259999999999,4514.57,9101.55,4514.57,10193.449999999999,4514.57,11425.869999999999,4514.57,12962.869999999999
2016-12-20,80.0,1537.0,1902.34,3439.34,2943.76,6383.1,11250.38,17633.48,11250.38,24271.059999999998,11250.38,25253.35,11250.38,26474.539999999997
2016-12-29,25.0,1549.32,1549.32,2704.6,1549.32,4005.88,1549.32,5434.360000000001,2471.34,7905.700000000001,2471.34,9646.330000000002,2471.34,11773.960000000003
2017-01-05,21.0,5397.09,13132.69,18529.78,13132.69,30295.379999999997,13132.69,31527.799999999996,13132.69,33040.31,13132.69,35419.6,13132.69,40270.67
2017-01-10,150.0,1611.75,2156.53,3768.28,2171.06,5939.34,2682.8,8622.14,3706.77,12328.91,5397.09,17726.0,13132.69,30858.690000000002
2017-01-17,16.0,12980.58,12980.58,15646.57,12980.58,23646.65,12980.58,34090.3,12980.58,36515.4,12980.58,42298.65,12980.58,44159.840000000004
2017-01-25,38.0,8992.76,8992.76,16872.64,8992.76,19251.93,8992.76,25076.57,8992.76,30901.21,8992.76,35055.21,8992.76,37557.61
2017-01-31,81.0,1834.02,2214.9,4048.92,2599.49,6648.41,3520.78,10169.19,12321.48,22490.67,12321.48,25840.379999999997,12321.48,34833.14
2017-02-08,16.0,3434.92,4579.22,8014.14,7071.85,15085.990000000002,37671.85,52757.84,37671.85,89467.75,37671.85,93056.43,37671.85,97352.98
2017-02-14,53.0,1873.84,2125.14,3998.9799999999996,2469.78,6468.76,3114.52,9583.28,4448.49,14031.77,25287.26,39319.03,25287.26,42753.95
2017-02-21,75.0,1419.2,2757.92,4177.12,4523.02,8700.14,4523.02,9981.72,4523.02,11460.509999999998,4523.02,13361.479999999998,4523.02,17054.329999999998
