E.coli date,E.coli value,Max rainfall value (past 24 hours),Max rainfall value (past 48 hours),Total rainfall value (past 48 hours),Max rainfall value (past 72 hours),Total rainfall value (past 72 hours),Max rainfall value (past 96 hours),Total rainfall value (past 96 hours),Max rainfall value (past 120 hours),Total rainfall value (past 120 hours),Max rainfall value (past 144 hours),Total rainfall value (past 144 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2016-11-30,440.0,0.0,7.88,7.88,7.88,14.629999999999999,9.0,23.63,9.0,27.57,9.0,36.57,9.0,36.57
2016-12-07,25.0,0.0,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,36.58,39.4,36.58,40.53
2016-12-13,30.0,0.56,19.13,19.689999999999998,19.13,19.689999999999998,19.13,21.939999999999998,19.13,22.499999999999996,19.13,22.499999999999996,19.13,22.499999999999996
2016-12-20,80.0,0.56,0.56,0.56,0.56,0.56,27.57,28.13,30.38,58.51,30.38,59.07,30.38,61.88
2016-12-29,25.0,22.68,22.68,22.68,22.68,23.81,22.68,23.81,22.68,41.879999999999995,22.68,43.01,22.68,43.01
2017-01-05,21.0,25.41,25.41,37.24,44.63,81.87,44.63,81.87,44.63,81.87,44.63,103.33000000000001,44.63,114.54000000000002
2017-01-10,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.41,25.41,25.41,37.24
2017-01-17,16.0,44.61,44.61,44.61,44.61,44.61,44.61,71.15,44.61,76.80000000000001,44.61,97.19000000000001,44.61,111.81000000000002
2017-01-25,38.0,25.97,25.97,50.25,25.97,52.51,25.97,67.75999999999999,25.97,77.91999999999999,25.97,91.46999999999998,25.97,91.46999999999998
2017-01-31,81.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56,30.49,31.049999999999997,30.49,31.049999999999997,30.49,57.019999999999996
2017-02-08,16.0,2.83,2.83,3.39,2.83,5.08,16.42,21.5,112.88,134.38,112.88,138.32999999999998,112.88,147.36999999999998
2017-02-14,53.0,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16,10.72,42.34,53.06,42.34,55.89
2017-02-21,75.0,1.13,1.13,1.13,27.1,28.23,27.1,28.23,27.1,28.23,27.1,28.23,27.1,39.519999999999996
2017-02-28,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.13
2017-03-07,68.0,1.69,3.39,5.08,3.39,5.08,3.39,5.08,3.39,5.08,3.39,5.08,3.39,5.08
2017-03-14,48.0,25.4,25.4,47.42,25.4,47.42,25.4,47.42,25.4,47.42,25.4,49.68,25.4,55.89
2017-03-21,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,10.16,10.16,19.759999999999998
2017-03-28,63.0,4.52,24.28,28.8,24.28,38.4,24.28,38.4,60.97,99.37,60.97,102.19,60.97,104.45
2017-04-04,900.0,10.17,10.17,10.17,10.17,10.73,29.35,40.08,29.35,41.769999999999996,29.35,41.769999999999996,29.35,41.769999999999996
2017-04-11,34.0,0.0,0.0,0.0,0.56,0.56,26.53,27.09,26.53,37.35,32.09,69.44,32.09,92.59
2017-04-19,30.0,13.55,13.55,14.68,13.55,24.28,21.46,45.74,21.46,62.1,21.46,76.21000000000001,21.46,76.21000000000001
2017-04-27,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.56
2017-11-06,63.0,0.59,12.87,13.459999999999999,12.87,13.459999999999999,12.87,13.459999999999999,12.87,14.049999999999999,12.87,15.239999999999998,12.87,19.4
2017-11-12,10.0,0.0,0.0,0.0,11.11,11.11,11.11,11.11,11.11,11.7,11.11,16.96,11.11,17.55
