E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 144 hours),Total flow value (past 144 hours)
2016-11-30,440.0,2016-11-29,1500.35,3537.78,13125.05
2016-12-07,25.0,2016-12-06,1537.0,10829.51,20501.67
2016-12-13,30.0,2016-12-12,2502.4,4514.57,11425.869999999999
2016-12-20,80.0,2016-12-19,1537.0,11250.38,25253.35
2016-12-29,25.0,2016-12-28,1549.32,2471.34,9646.330000000002
2017-01-05,21.0,2017-01-04,5397.09,13132.69,35419.6
2017-01-10,150.0,2017-01-09,1611.75,5397.09,17726.0
2017-01-17,16.0,2017-01-16,12980.58,12980.58,42298.65
2017-01-25,38.0,2017-01-24,8992.76,8992.76,35055.21
2017-01-31,81.0,2017-01-30,1834.02,12321.48,25840.379999999997
2017-02-08,16.0,2017-02-07,3434.92,37671.85,93056.43
2017-02-14,53.0,2017-02-13,1873.84,25287.26,39319.03
2017-02-21,75.0,2017-02-20,1419.2,4523.02,13361.479999999998
2017-02-28,70.0,2017-02-27,743.9,1109.94,5422.0
2017-03-07,68.0,2017-03-06,600.47,784.23,3853.49
2017-03-14,48.0,2017-03-13,7599.42,7599.42,11878.31
2017-03-21,1000.0,2017-03-20,543.13,2570.29,6093.54
2017-03-28,63.0,2017-03-27,4538.23,12985.96,33658.68
2017-04-04,900.0,2017-04-03,4351.33,4351.33,12857.55
2017-04-11,34.0,2017-04-10,2336.0,13669.71,35083.439999999995
2017-04-19,30.0,2017-04-18,4514.67,11745.06,31180.62
2017-04-27,92.0,2017-04-26,899.24,1704.91,7370.74
2017-11-06,63.0,2017-11-05,2155.97,4171.43,9806.5
2017-11-12,10.0,2017-11-11,780.47,4815.04,10166.060000000001
2017-11-21,63.0,2017-11-20,460.99,567.95,3087.2200000000003
2017-11-29,158.0,2017-11-28,377.18,425.01,2398.52
2017-12-03,20.0,2017-12-02,345.41,667.53,2748.64
2017-12-12,52.0,2017-12-11,789.05,789.05,2282.5099999999998
2017-12-18,20.0,2017-12-17,262.39,511.0,1933.43
2017-12-27,86.0,2017-12-26,262.39,329.55,1527.4199999999998
2018-01-03,97.0,2018-01-02,230.92,377.18,1578.99
2018-01-08,109.0,2018-01-07,1236.17,1590.33,3939.6300000000006
2018-01-14,118.0,2018-01-13,888.88,9085.02,18252.86
2018-02-04,120.0,2018-02-03,7674.52,7674.52,14729.93
2018-02-13,122.0,2018-02-12,18183.64,18183.64,19954.39
2018-02-19,120.0,2018-02-18,1393.8,40077.3,50318.700000000004
2018-02-25,63.0,2018-02-24,2499.05,41760.06,51090.17999999999
2018-03-06,110.0,2018-03-05,963.32,2827.75,10431.13
2018-03-12,52.0,2018-03-11,692.68,1935.79,6160.1
2018-03-18,10.0,2018-03-17,543.9,631.72,3479.3899999999994
2018-03-27,10.0,2018-03-26,11766.66,11766.66,36449.72
2018-04-05,52.0,2018-04-04,840.8,2515.79,8089.009999999999
2018-04-08,63.0,2018-04-07,678.83,1127.22,5128.25
2018-04-15,20.0,2018-04-14,9271.2,14547.52,30076.15
2018-04-23,20.0,2018-04-22,1346.77,11042.39,21219.48
2018-11-12,10.0,2018-11-11,5765.84,14257.9,35857.29
2018-11-18,86.0,2018-11-17,972.08,2316.24,8833.36
2018-11-26,495.0,2018-11-25,579.06,963.69,4353.95
2018-12-02,52.0,2018-12-01,548.88,1655.53,5986.870000000001
2018-12-10,97.0,2018-12-09,480.76,3257.44,6727.83
2018-12-16,,2018-12-15,453.05,603.95,2840.83
2018-12-24,10.0,2018-12-23,1124.54,1566.26,3836.1800000000003
2018-12-30,379.0,2018-12-29,548.88,1339.27,4796.849999999999
2019-01-07,932.0,2019-01-06,1017.02,5765.84,12130.990000000002
2019-01-13,73.0,2019-01-12,1017.02,6126.92,11438.56
2019-01-22,63.0,2019-01-21,1815.65,1815.65,6524.83
2019-01-27,457.0,2019-01-26,662.44,1815.65,5806.33
2019-02-04,,2019-02-03,2057.77,3164.75,9116.27
2019-02-10,85.0,2019-02-09,475.36,689.53,3423.63
2019-02-18,73.0,2019-02-17,514.06,1432.11,3698.65
2019-02-24,504.0,2019-02-23,12436.68,12436.68,14363.52
2019-03-04,96.0,2019-03-03,655.77,2239.23,6582.07
2019-03-10,31.0,2019-03-09,2331.81,2331.81,6084.719999999999
2019-03-17,41.0,2019-03-16,1305.48,7568.85,13776.32
2019-03-24,121.0,2019-03-23,525.5,782.23,3806.13
2019-04-01,784.0,2019-03-31,519.76,4547.89,9619.17
2019-04-07,85.0,2019-04-06,519.76,3762.44,7518.3
2019-04-15,86.0,2019-04-14,947.02,4890.25,12403.87
2019-04-29,1296.0,2019-04-28,486.21,662.44,3022.26
