E.coli date,E.coli value,Max rainfall date (past 24 hours),Max rainfall value (past 24 hours),Max rainfall value (past 168 hours),Total rainfall value (past 168 hours)
2004-11-08,830.0,2004-11-07,0.0,0.0,0.0
2004-12-06,1200.0,2004-12-05,0.0,0.0,0.0
2005-01-11,420.0,2005-01-10,0.0,0.0,0.0
2005-02-07,190.0,2005-02-06,0.0,0.0,0.0
2005-03-07,2600.0,2005-03-06,0.0,0.0,0.0
2005-04-04,200.0,2005-04-03,0.0,0.0,0.0
2006-02-07,50.0,2006-02-06,0.0,10.67,16.509999999999998
2011-11-02,1700.0,2011-11-01,9.0,20.33,52.5
2011-11-09,600.0,2011-11-08,6.67,6.67,21.09
2011-11-16,26000.0,2011-11-15,20.0,22.5,53.16
2011-11-23,220.0,2011-11-22,0.67,11.0,20.509999999999998
2011-11-30,190.0,2011-11-29,2.67,7.33,19.0
2011-12-07,770.0,2011-12-06,6.17,6.17,12.17
2011-12-14,240.0,2011-12-13,2.0,4.0,8.83
2011-12-21,170.0,2011-12-20,0.0,29.83,56.5
2011-12-28,390.0,2011-12-27,0.0,0.0,0.0
2012-01-04,290.0,2012-01-03,0.17,32.0,81.51
2012-01-11,21.0,2012-01-10,1.33,4.17,9.0
2012-01-18,310.0,2012-01-17,0.0,8.33,28.5
2012-01-25,200.0,2012-01-24,0.0,3.17,4.75
2012-02-01,28.0,2012-01-31,0.0,2.33,3.5
2012-02-08,310.0,2012-02-07,0.0,13.0,22.5
2012-02-15,270.0,2012-02-14,4.83,17.5,40.33
2012-02-22,190.0,2012-02-21,8.33,8.33,10.25
2012-02-29,52.0,2012-02-28,0.0,22.5,36.42
2012-03-07,1700.0,2012-03-06,0.0,26.0,93.5
2012-03-14,430.0,2012-03-13,1.0,13.0,22.5
2012-03-21,350.0,2012-03-20,0.0,0.33,0.5
2012-03-28,200.0,2012-03-27,0.33,10.33,40.83
2012-04-03,110.0,2012-04-02,0.0,0.33,0.5
2012-04-11,41.0,2012-04-10,0.17,0.33,0.5
2012-04-18,200.0,2012-04-17,0.17,8.67,14.51
2012-04-23,74.0,2012-04-22,0.33,0.5,1.0
2012-11-07,120.0,2012-11-06,0.5,7.33,14.0
2012-11-14,120.0,2012-11-13,2.67,21.0,37.67
2012-11-21,25.0,2012-11-20,0.0,3.92,12.09
2012-11-28,100.0,2012-11-27,0.83,1.67,2.5
2012-12-05,120.0,2012-12-04,4.67,6.67,18.67
2012-12-12,140.0,2012-12-11,0.17,14.33,43.32
2012-12-19,810.0,2012-12-18,11.67,11.67,20.34
2012-12-27,300.0,2012-12-26,4.33,4.33,11.33
2013-01-03,5200.0,2013-01-02,11.0,23.33,68.16
2013-01-09,220.0,2013-01-08,0.83,11.0,17.66
2013-01-16,670.0,2013-01-15,16.33,16.33,46.989999999999995
2013-01-23,240.0,2013-01-22,0.0,15.5,32.83
2013-01-30,630.0,2013-01-29,0.0,4.67,7.0
2013-02-07,1100.0,2013-02-06,0.08,3.6,5.65
2013-02-13,3900.0,2013-02-12,1.73,1.73,1.81
2013-02-20,38.0,2013-02-19,0.0,0.87,0.87
2013-02-27,270.0,2013-02-26,0.0,0.0,0.0
2013-03-06,21.0,2013-03-05,1.2,1.87,3.0700000000000003
2013-03-13,420.0,2013-03-12,0.0,0.27,0.34
2013-03-20,3000.0,2013-03-19,23.53,26.73,54.39000000000001
2013-03-26,470.0,2013-03-25,0.0,23.53,29.130000000000003
2013-04-03,68.0,2013-04-02,0.0,2.67,4.8
2013-04-10,140.0,2013-04-09,4.2,4.4,9.200000000000001
2013-04-17,540.0,2013-04-16,2.6,26.2,45.400000000000006
2013-04-23,690.0,2013-04-22,0.2,14.4,27.0
2013-11-06,110.0,2013-11-05,0.0,33.92,58.2
2013-11-13,310.0,2013-11-12,0.0,1.45,2.8
2013-11-20,190.0,2013-11-19,0.0,6.88,13.009999999999998
2013-11-27,1300.0,2013-11-26,6.38,6.38,6.38
2013-12-04,63.0,2013-12-03,0.0,8.0,20.839999999999996
2013-12-11,2100.0,2013-12-10,9.57,14.08,46.14
2013-12-18,1200.0,2013-12-17,0.0,5.48,7.69
2013-12-20,3300.0,2013-12-19,0.3,1.13,2.76
