sitename,date,parameter,ecoli_value,ecoli_units,ecoli_source,rainfall_site,flow_site1,flow_site2,rain_mm_day0,rain_mm_prior24h_max,rain_mm_prior48h_max,rain_mm_prior72h_max,rain_mm_prior4d_max,rain_mm_prior5d_max,rain_mm_prior6d_max,rain_mm_prior24h_sum,rain_mm_prior48h_sum,rain_mm_prior72h_sum,rain_mm_prior4d_sum,rain_mm_prior5d_sum,rain_mm_prior6d_sum,flowsite1_max_day0,flowsite1_max_prior24h_max,flowsite1_max_prior48h_max,flowsite1_max_prior72h_max,flowsite1_max_prior4d_max,flowsite1_max_prior5d_max,flowsite1_max_prior6d_max,flowsite1_max_prior24h_sum,flowsite1_max_prior48h_sum,flowsite1_max_prior72h_sum,flowsite1_max_prior4d_sum,flowsite1_max_prior5d_sum,flowsite1_max_prior6d_sum,flowsite2_max_day0,flowsite2_max_prior24h_max,flowsite2_max_prior48h_max,flowsite2_max_prior72h_max,flowsite2_max_prior4d_max,flowsite2_max_prior5d_max,flowsite2_max_prior6d_max,flowsite2_max_prior24h_sum,flowsite2_max_prior48h_sum,flowsite2_max_prior72h_sum,flowsite2_max_prior4d_sum,flowsite2_max_prior5d_sum,flowsite2_max_prior6d_sum
Ohau at Gladstone Reserve,30/11/16 0:00,Ecoli,690,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,32.51,32.51,32.51,32.51,32.51,32.51,32.51,33.51,33.51,40.51,46.51,54.51,58.51,6544.87,7496.59,10886.47,11757.96,18228.12,18228.12,18228.12,14041.46,24927.93,36685.89,54914.01,63396.44,71176.25,7001.92,9023.81,11106.92,11769.63,15607.85,15607.85,15607.85,16025.73,27132.65,38902.28,54510.13,64210.66,72755.99
Ohau at Gladstone Reserve,7/12/16 0:00,Ecoli,8,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0.5,0.5,0.5,2.5,2.5,2.5,2.5,0.5,0.5,3,3,3,3,4479.72,5233.54,5955.41,7191.53,9437.83,17102.04,88722.94,9713.26,15668.67,22860.2,32298.03,49400.07,138123.01,5237.85,6177.32,6667.53,8291.92,10633.64,20093.65,78707.23,11415.17,18082.7,26374.62,37008.26,57101.91,135809.14
Ohau at Gladstone Reserve,13/12/16 0:00,Ecoli,38,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,2.5,2.5,16,16,16,16,2.5,4,20,20,22.01,22.51,4068.22,11370.18,16468.69,16468.69,16468.69,16468.69,16468.69,15438.4,31907.09,35312.07,39222.31,43191.35,47671.07,4612.72,14545.39,14545.39,14545.39,14545.39,14545.39,14545.39,19158.11,33703.5,37695.96,42077.58,46719.46,51957.31
Ohau at Gladstone Reserve,20/12/16 0:00,Ecoli,58,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,42.5,42.5,42.5,42.5,42.5,42.5,42.5,43,43,43,67.5,95,122971.28,122971.28,122971.28,122971.28,122971.28,122971.28,122971.28,128631.56,136100.14,150465.67,240335.76,262562.46,265949.55,98753.33,98753.33,98753.33,98753.33,98753.33,98753.33,98753.33,104962.9,113254.82,130146.93,206617.5,228874.29,232663.46
Ohau at Gladstone Reserve,29/12/16 0:00,Ecoli,110,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,19.01,19.01,19.01,19.01,19.01,19.01,19.01,33.64,49.01,49.01,50.01,50.01,67.01,26437.77,26437.77,26437.77,26437.77,26437.77,26437.77,26437.77,31977.59,36005.96,40443.47,45561.87,54936.43,61221.17,24743.76,24743.76,24743.76,24743.76,24743.76,24743.76,24743.76,30728.81,35785.32,41084.11,47553.91,58006.71,65625.82
Ohau at Gladstone Reserve,5/1/17 0:00,Ecoli,16,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0.5,21.99,21.99,38.45,38.45,38.45,0.5,22.49,34.03,72.48,72.48,72.48,20587.92,46225.32,125480.8,125480.8,125480.8,125480.8,125480.8,66813.24,192294.04,295761.11,301592.52,310561.32,323741.31,25296.52,46061.23,100428.13,100428.13,100428.13,100428.13,100428.13,71357.75,171785.88,266780.26,273580.81,285054.84,297834.65
Ohau at Gladstone Reserve,10/1/17 0:00,Ecoli,280,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,20.49,20.49,20.49,20.49,20.49,20.49,20.49,30.98,30.98,30.98,30.98,30.98,31.48,7580.97,7580.97,8512.41,9661.02,13330.1,20587.92,46225.32,14125.84,22638.25,32299.27,45629.37,66217.29,112442.61,6371.76,7239.6,8875.49,10597.42,14234.3,25296.52,46061.23,13611.36,22486.85,33084.27,47318.57,72615.09,118676.32
Ohau at Gladstone Reserve,17/1/17 0:00,Ecoli,34,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,39.49,39.49,39.49,39.49,39.49,0,39.49,39.49,39.49,63,68,20587.92,130570.15,130570.15,130570.15,130570.15,130570.15,130570.15,151158.07,164677,229413.88,316115.64,329333.08,368392.91,24150.84,99553.13,99553.13,99553.13,99553.13,99553.13,99553.13,123703.97,137706.07,216736.16,290082.08,302223.6,336826.38
Ohau at Gladstone Reserve,25/1/17 0:00,Ecoli,64,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,27,27,27,27,27,27,27,27,50.5,71.5,73.5,87.01,97.01,20401.3,92705.31,92705.31,92705.31,92705.31,92705.31,92705.31,113106.61,187355.01,198344.2,216660.43,244171.6,271618.8,22653.2,83231.38,83231.38,83231.38,83231.38,83231.38,83231.38,105884.58,131338.92,143219.84,161051.78,185004.82,206998.53
Ohau at Gladstone Reserve,31/1/17 0:00,Ecoli,120,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,8,10.5,10.5,10.5,10.5,10.5,27,18.5,18.5,18.5,19,19,46,8876.51,8876.51,11057.96,13518.93,20587.92,128463.18,128463.18,17509.39,28567.35,42086.28,62674.2,191137.38,211538.68,9285.71,9285.71,11326.87,13464.01,24229.93,95693.7,95693.7,18346.75,29673.62,43137.63,67367.56,163061.26,185714.46
Ohau at Gladstone Reserve,8/2/17 0:00,Ecoli,97,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0.5,38.01,38.01,38.01,38.01,38.01,93.98,38.51,40.51,41.01,42.51,63.54,157.52,143179.64,143179.64,143179.64,143179.64,232084.42,268563.69,268563.69,157303.67,176682.42,209290.04,441374.46,709938.15,739890.04,103735.88,103735.88,103735.88,103735.88,123694.5,123694.5,123694.5,119862.19,144684.95,191882.13,315576.63,439046.33,456590.75
Ohau at Gladstone Reserve,14/2/17 0:00,Ecoli,12,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,19,19,19,19,19.5,21306.94,21306.94,21306.94,21306.94,21306.94,22667.82,143179.64,30135.28,38930.6,49614.64,63233.77,85901.59,229081.23,20221.57,20221.57,20221.57,20221.57,20221.57,29266.56,103735.88,28441.64,38320.22,50424.43,66072.01,95338.57,199074.45
Ohau at Gladstone Reserve,21/2/17 0:00,Ecoli,34,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,1,1,1,23.5,23.5,23.5,1,2,2.5,26,26,26,5291.69,6023.61,11034.67,14478.17,14478.17,14478.17,14478.17,11315.3,22349.97,36828.14,42726.21,49695.94,59692.8,5732.1,6535.47,14350.76,14428.54,14428.54,14428.54,14428.54,12267.57,26618.33,41046.87,47256.44,55085.65,66966.57
Ohau at Gladstone Reserve,28/2/17 0:00,Ecoli,54,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,2785.71,2965.53,3188.18,3440.31,3744.14,4145.41,4567.69,5751.24,8939.42,12379.73,16123.87,20269.28,24836.97,2678.25,2900.6,3131.52,3507.75,3904.7,4410.29,4936.83,5578.85,8710.37,12218.12,16122.82,20533.11,25469.94
Ohau at Gladstone Reserve,7/3/17 0:00,Ecoli,78,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,2,6,6,6,6,6,6,8,9,12,12,12,12,5973.22,5973.22,5973.22,5973.22,5973.22,5973.22,5973.22,8823.43,13566.54,15791.82,18099.27,20534.42,23132.88,5421.38,5421.38,5421.38,5421.38,5421.38,5421.38,5421.38,8631.78,12565.63,14500.35,16562.91,18777.69,21172.78
Ohau at Gladstone Reserve,14/3/17 0:00,Ecoli,140,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,9.5,9.5,22.5,22.5,22.5,22.5,22.5,17.5,40,59.5,59.5,59.5,59.5,14202.41,14478.17,14478.17,14478.17,14478.17,14478.17,14478.17,28680.58,35063.31,37007.59,39088.39,41641.52,45100.33,12253.6,13082.84,13082.84,13082.84,13082.84,13082.84,13082.84,25336.44,30757.82,32250.62,33973.04,36254.64,40365.59
Ohau at Gladstone Reserve,21/3/17 0:00,Ecoli,110,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0.93,2,2,2,2,2,2,2.93,2.93,2.93,2.93,2.93,2.93,2817.84,2817.84,2965.53,3366.96,4003.1,5773.97,11318.54,5477.66,8443.19,11810.15,15813.25,21587.22,32905.76,2148.91,2326.68,2678.25,3184,4110.95,6601.38,12817.6,4475.59,7153.84,10337.84,14448.79,21050.17,33867.77
Ohau at Gladstone Reserve,28/3/17 0:00,Ecoli,58,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,5,24.01,24.01,24.01,55.58,0,5,29.01,34,34,89.58,10166.9,17317.99,28878.88,28878.88,28878.88,62096.45,62096.45,27484.89,56363.77,63170.66,77767.71,139864.16,142714.37,11695.57,18618.91,31376.53,31376.53,31376.53,61350.01,61350.01,30314.48,61691.01,69310.12,87059.78,148409.79,150759.17
Ohau at Gladstone Reserve,4/4/17 0:00,Ecoli,450,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,27.67,27.67,27.67,27.67,27.67,27.67,27.67,47.67,56.67,56.67,57.17,83.67,84.67,57734.26,57734.26,57734.26,57734.26,57734.26,57734.26,57734.26,83371.59,89496.66,98924.16,114446.49,120419.71,127756.7,57201.4,57201.4,57201.4,57201.4,57201.4,57201.4,57201.4,64102.36,70703.74,82214.63,97347.89,103752.27,111972.34
Ohau at Gladstone Reserve,11/4/17 0:00,Ecoli,38,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,0,0,0.5,24,24,0,0,0,0.5,24.5,34.34,7873.87,9895.4,13350.51,26939.13,43023.1,43023.1,43023.1,17769.27,31119.78,58058.91,101082.01,120912.43,149593.1,9285.71,11584.68,15488.85,35454.55,46364.39,46364.39,46364.39,20870.39,36359.24,71813.79,118178.18,141096.84,173018.98
Ohau at Gladstone Reserve,19/4/17 0:00,Ecoli,12,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0.5,0.5,12,12,12,20.73,20.73,0.5,12.5,13.5,22,42.73,55.51,10098.74,13503.73,14084.92,31471.01,59414.29,59414.29,59414.29,23602.47,37687.39,69158.4,128572.69,139784.43,149344.68,12969,15687.32,15687.32,30713.22,53214.73,53214.73,53214.73,28656.32,44026.4,74739.62,127954.35,138047.47,148104.77
Ohau at Gladstone Reserve,27/4/17 0:00,Ecoli,12,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,3403.51,3705.25,4043.47,4438.57,5013.22,5651.3,6646.11,7108.76,11152.23,15590.8,20604.02,26255.32,32901.43,3904.7,4322.37,4759.14,5268.29,5921.45,6733.92,8077.09,8227.07,12986.21,18254.5,24175.95,30909.87,38986.96
Ohau at Gladstone Reserve,6/11/17 0:00,Ecoli,41,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0.5,4.5,4.5,11.01,11.01,11.01,11.01,5,5.5,16.51,16.51,16.51,17.01,3738.25,8616.76,14431.24,14431.24,14431.24,14431.24,14431.24,12355.01,26786.25,29708.56,32993.26,36552.65,40742.68,4039.28,11831.32,11831.32,11831.32,11831.32,11831.32,11831.32,15870.6,27578.73,30543.71,33875.58,37592.99,41853.48
Ohau at Gladstone Reserve,12/11/17 0:00,Ecoli,10,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,0,0,9.5,9.5,9.5,0,0,0,9.5,9.5,10,2499.44,2857.2,3352.05,10942.06,10942.06,10942.06,10942.06,5356.64,8708.69,19650.75,22656.63,27247.43,30985.68,2438.64,2730.75,3717.41,9421.04,9421.04,9421.04,9421.04,5169.39,8886.8,18307.84,21344.7,25605.19,29644.47
Ohau at Gladstone Reserve,21/11/17 0:00,Ecoli,,MPN/100mL,SwimSafe,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,1621.55,1675.31,1767.91,1859.59,1913.99,1997.08,2072.46,3296.86,5064.77,6924.36,8838.35,10835.43,12907.89,1264.92,1320.48,1435.34,1539.6,1630.57,1725.26,1884.5,2585.4,4020.74,5560.34,7190.91,8916.17,10800.67
