swim_site,rainfall_site,flow_site1,flow_site2
Akitio Beach at Surf Club,,,
Akitio Estuary at Coast Rd Bridge,,,
Foxton Loop at Harbour St Boat Ramp,,,
Hautapu at Papakai Road Bridge,,,
Hokio Estuary at Muaupoko St Bridge,,,
Hokowhitu Lagoon at The Chalet,,,
Hokowhitu Lagoon at Walkbridge,,,
Kahuterawa at end Kahuterawa Rd,,,
Kai Iwi Stream at Archers Bridge,,,
Kaikokopu Stream at Himatangi Beach,,,
Lake Dudding,,,
Lake Horowhenua at Domain,,,
Lake Pauri,,,
Lake William,,,
Lake Wiritoa,,,
Makakahi at Motor Camp,,,
Makotuku at Raetihi Motor Camp,,,
Manawatu at Fitzherbert,,,
Manawatu at Foxton,,,
Manawatu at Hopelands,,,
Manawatu at Upper Gorge,,,
Manawatu at Weber Road,,,
Manawatu at Whirokino,,,
Manawatu at u/s PNCC STP,,,
Mangahao at Marima Domain,,,
Mangahao at Poplar Reserve,,,
Manganui o te Ao at Ruatiti Domain,,,
Mangaore at d/s Mangahao Power Station,,,
Mangatainoka at Brewery - S.H.2 Bridge,,,
Mangatainoka at Pahiatua Town Bridge,,,
Mangatainoka at Scarborough Konini Rd,,,
Mangateitei at Moore Street,,,
Mangawharariki at Ruahine Dress Circle,,,
Mangawhero at Raukawa Falls Camp,,,
Mangawhero at SH49,,,
Mangawhero at ds Maungarongo Pa,,,
Moawhango at Moawhango,,,
Mowhanau Stream at Footbridge,,,
Mowhanau Stream at us Rapanui Confluence,,,
Mowhanau at Rapanui Road,,,
Mowhanau at SH3,,,
Ohau at Gladstone Reserve,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford
Ohau at Kimberley Rd,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford
Ohau at Muhunoa East Rd,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford
Ohau at State Highway Bridge,Ohau at Makahika,Ohau at Rongomatane,Ohau at Haines Ford
Ongarue at Cherry Grove,,,
Oroua at Almadale,,,
Oroua at Awahuri Bridge,,,
Oroua at Bartletts Ford,,,
Oroua at Feilding Rd Br,,,
Oroua at Londons Ford,,,
Oroua at U/S AFFCO Feilding,,,
Ototoka at Beach Rd,,,
Pacific Ocean at Herbertville Beach,,,
Pohangina at Piripiri,,,
Pohangina at Raumai,,,
Pohangina at Totara Reserve,,,
Rangitikei Estuary at River Mouth,,,
Rangitikei at Bulls,,,
Rangitikei at Kakariki,,,
Rangitikei at Mangaweka,,,
Rangitikei at McKelvies,,,
Rangitikei at Onepuhi,,,
Rangitikei at Pukeokahu,,,
Rangitikei at Toe Toe Bridge,,,
Rangitikei at Vinegar Hill,,,
Rapanui at d/s of Trib Below Bason Park,,,
Rapanui at u/s Mowhanau confluence,,,
Tasman Sea at Castlecliff Beach,,,
Tasman Sea at Foxton Beach,,,
Tasman Sea at Himatangi Beach,,,
Tasman Sea at Hokio Beach,,,
Tasman Sea at Kai Iwi Beach,,,
Tasman Sea at Koitiata Beach,,,
Tasman Sea at Ototoka Beach,,,
Tasman Sea at South Beach,,,
Tasman Sea at Waikawa Beach,,,
Tasman Sea at Waitarere Beach,,,
Tokomaru River at Horseshoe bend,,,
Turakina at Mouth,,,
Waihi at Falls,,,
Waikawa Estuary at Footbridge,Ohau at Makahika,Waikawa at North Manakau Road,
Waikawa at North Manakau Road,Ohau at Makahika,Waikawa at North Manakau Road,
Waikawa at Waikawa Campsite,Ohau at Makahika,Waikawa at North Manakau Road,
Wainui at Herbertville,,,
Wairarawa Stream at Waitarere Beach,,,
Whakapapa at Kakahi,,,
Whakapapa at Owhango,,,
Whangaehu at Fields Track,,,
Whanganui at Channels,,,
Whanganui at Cherry Grove,,,
Whanganui at Cobham Pontoons,,,
Whanganui at Matapuna,,,
Whanganui at Mosquito Point,,,
Whanganui at Ohinepane Reserve,,,
Whanganui at Pipiriki,,,
Whanganui at Town Bridge,,,
Whanganui at Victory Bridge,,,
